Model,Area,algorithm,Accuracy,Precision,Recall,F1-Score
Engenharias_catboost_comp.pkl,ENGENHARIAS,CatBoost,0.6087115220829785,0.8059148956875881,0.6087115220829785,0.661777344798371
LinguisticaLetrasArtes_catboost_comp.pkl,LINGUISTICA. LETRAS E ARTES,CatBoost,0.6926229508196722,0.7495156940740444,0.6926229508196722,0.6964913597486759
Multidisciplinar_catboost_comp.pkl,MULTIDISCIPLINAR,CatBoost,0.6858653311074012,0.8181578410240905,0.6858653311074012,0.7046984822599076
CienciasAgrarias_rf_comp.pkl,CIENCIAS AGRARIAS,Random Forest,0.6787957148134466,0.821385977876103,0.6787957148134466,0.7062224028313963
CienciasBiologicas_rf_comp.pkl,CIENCIAS BIOLOGICAS,Random Forest,0.6540060992514555,0.8522843406184285,0.6540060992514555,0.7085342862687336
CienciasDaSaude_rf_comp.pkl,CIENCIAS DA SAUDE,Random Forest,0.6517292190344111,0.8399174436330783,0.6517292190344111,0.6966141935640701
CienciasExatasDaTerra_rf_comp.pkl,CIENCIAS EXATAS E DA TERRA,Random Forest,0.6449853126311372,0.8195839895392113,0.6449853126311372,0.6827680831815328
CienciasHumanas_rf_comp.pkl,CIENCIAS HUMANAS,Random Forest,0.6701112877583466,0.8202514675176801,0.6701112877583466,0.7039133781451283
CienciasSociaisAplicadas_rf_comp.pkl,CIENCIAS SOCIAIS APLICADAS,Random Forest,0.6957985653637827,0.8970883337380472,0.6957985653637827,0.7528107148130273
Engenharias_rf_comp.pkl,ENGENHARIAS,Random Forest,0.6234335077260007,0.8322428742154483,0.6234335077260007,0.6781781200323618
LinguisticaLetrasArtes_rf_comp.pkl,LINGUISTICA. LETRAS E ARTES,Random Forest,0.7117486338797814,0.7722399578847866,0.7117486338797814,0.715810084092764
Multidisciplinar_rf_comp.pkl,MULTIDISCIPLINAR,Random Forest,0.7003338898163606,0.8380763639738794,0.7003338898163606,0.7208498962213222
CienciasAgrarias_xgboost_comp.pkl,CIENCIAS AGRARIAS,XGBoost,0.676025120059106,0.819474931624298,0.676025120059106,0.7035440943753174
CienciasBiologicas_xgboost_comp.pkl,CIENCIAS BIOLOGICAS,XGBoost,0.6506792348211811,0.8472032228176827,0.6506792348211811,0.704186393400821
CienciasDaSaude_xgboost_comp.pkl,CIENCIAS DA SAUDE,XGBoost,0.6499089884718731,0.837933687292237,0.6499089884718731,0.6947974535347852
CienciasExatasDaTerra_xgboost_comp.pkl,CIENCIAS EXATAS E DA TERRA,XGBoost,0.653797733948804,0.825753245607201,0.653797733948804,0.6942018874618896
CienciasHumanas_xgboost_comp.pkl,CIENCIAS HUMANAS,XGBoost,0.6699788023317436,0.8133904109679855,0.6699788023317436,0.7049599651695263
CienciasSociaisAplicadas_xgboost_comp.pkl,CIENCIAS SOCIAIS APLICADAS,XGBoost,0.6913336261162348,0.8923984580530112,0.6913336261162348,0.7480450625708052
Engenharias_xgboost_comp.pkl,ENGENHARIAS,XGBoost,0.6167416960700816,0.8185393616548589,0.6167416960700816,0.6722076067233977
LinguisticaLetrasArtes_xgboost_comp.pkl,LINGUISTICA. LETRAS E ARTES,XGBoost,0.6991120218579235,0.7535125349737475,0.6991120218579235,0.7033771073494891
Multidisciplinar_xgboost_comp.pkl,MULTIDISCIPLINAR,XGBoost,0.6931923576330922,0.8283342937273956,0.6931923576330922,0.7128463367206171
CienciasAgrarias_svc_comp.pkl,CIENCIAS AGRARIAS,SVC,0.6738086442556336,0.8221307607424772,0.6738086442556336,0.7023772435408034
CienciasBiologicas_svc_comp.pkl,CIENCIAS BIOLOGICAS,SVC,0.6462434155808151,0.8388332033031409,0.6462434155808151,0.6988722592354581
CienciasDaSaude_svc_comp.pkl,CIENCIAS DA SAUDE,SVC,0.647395336742654,0.8349485626305234,0.647395336742654,0.6913584799667984
CienciasExatasDaTerra_svc_comp.pkl,CIENCIAS EXATAS E DA TERRA,SVC,0.6235837180025179,0.79367152386321,0.6235837180025179,0.6610414830676112
CienciasHumanas_svc_comp.pkl,CIENCIAS HUMANAS,SVC,0.6494435612082671,0.7967323508088625,0.6494435612082671,0.6818204587462755
CienciasSociaisAplicadas_svc_comp.pkl,CIENCIAS SOCIAIS APLICADAS,SVC,0.6823305518957693,0.8891345590360286,0.6823305518957693,0.7399499183579562
Engenharias_svc_comp.pkl,ENGENHARIAS,SVC,0.6073731597517946,0.8157570083958944,0.6073731597517946,0.6636832753382047
LinguisticaLetrasArtes_svc_comp.pkl,LINGUISTICA. LETRAS E ARTES,SVC,0.7004781420765027,0.7672840817213803,0.7004781420765027,0.7005603205844898
Multidisciplinar_svc_comp.pkl,MULTIDISCIPLINAR,SVC,0.7002411426451494,0.8382027252841877,0.7002411426451494,0.7207273249667345
